price_x,size,brand,category,text,0,1,2,3,4,5,6,7
35.0,No size in title,ALTEA,scarf,ALTEA (ITA) Wool blend stripe scarf!,0.028639913669702515,0.004581051209834161,0.010318829458908841,0.02390124787507448,0.031506013119710914,0.010004818681937791,0.012239570461782808,0.0209716909038841
59.0,10-12,AMAYA,top,"AMAYA (BN) ""Kanzo"" satin black top! 10-12",0.0,0.0,0.0,0.015853788538395558,0.059996896437194774,0.14176592293994084,0.006680383465231898,0.021884676113246328
50.0,10,AMAYA By Augustine,top,"AMAYA By Augustine ""Alba"" splatter print top! 10",0.0,0.0,0.004136615531570328,0.09121814061871328,0.0442279359434569,0.06543155072294951,0.07525834663021767,0.03506831087390333
30.0,14,ANALYTIC ,skirt,ANALYTIC - A-line midi skirt! 14,0.060321370968263684,0.0,0.005526604151583295,0.07235330737627785,0.041010132481913014,0.0,0.0,0.022003262915466865
45.0,16,ANDREA MOORE ,skirt,ANDREA MOORE - Geo print skirt! 16,0.022821417458286565,0.0038730252256038446,0.0,0.09885219530711578,0.20035413340901043,0.0,0.08633174924053706,0.0
30.0,10,ANDREA MOORE ,pants,ANDREA MOORE - High waisted dress pants! 10,0.01560507542900952,0.004175880222333502,0.0027096224301082984,0.0286080552122248,0.07078459156383532,0.001149360164614991,0.0023026315014546663,0.004790364721054926
45.0,16,ANDREA MOORE ,skirt,ANDREA MOORE - Leopard jacquard skirt! 16,0.019678699723993925,0.001311047387562262,0.0,0.0492597182770627,0.22622211669537096,0.0,0.0,0.0
45.0,16,ANDREA MOORE ,skirt,ANDREA MOORE - Pleat skirt! 16,0.10051179339478641,0.022072712224483267,0.001078700616816959,0.0,0.06333138468254552,0.0,0.0,0.0
30.0,14-16,ANDREA MOORE ,top,ANDREA MOORE - Princess sleeve stripe top! 14-16,0.0,0.0,0.0,0.0,0.0,0.006929722329365204,0.0,0.06276901394058851
20.0,8,ANDREA MOORE ,skirt,ANDREA MOORE - Printed mini skirt! 8,0.0,0.011728159034393653,0.00693058233984312,0.1002569954969566,0.127669734795142,0.0,0.0,0.0010864782613289395
45.0,12,ANDREA MOORE ,skirt,ANDREA MOORE - Scandi print linen blend skirt! 12,0.05061915736984612,0.0008400304268383009,0.01012238225045212,0.011959037821924746,0.1320175924078086,0.0,0.06375482073120425,0.03148575165818834
40.0,10,ANDREA MOORE ,jeans,ANDREA MOORE - Skinny ankle grazer jeans! 10,0.1621435279296305,0.015239233878355718,0.0,0.0,0.0,0.0,0.0,0.0
45.0,12,ANDREA MOORE ,dress,ANDREA MOORE - Striped tunic dress! 12,0.0,0.00016823163944423486,0.004132077443389139,0.008030718931760288,0.0,0.0022438332882722027,0.011609132470232226,3.3694647925004816e-06
95.0,10-12,ANDREA MOORE ,dress,ANDREA MOORE - Structured shoulder silk wrap dress! 10-12,0.0,0.0,0.18051010290116024,0.0015068204181892524,0.0004108389939568236,0.013645080676809375,0.0010947619108915038,0.0
49.0,12,ANDREA MOORE ,farbic,ANDREA MOORE - Swan dress star brocade farbic! 12,0.032180184572265916,0.004303842291095588,0.0,0.038171190868472316,0.20041395249347121,0.0,0.0,0.0
35.0,16,ANDREA MOORE ,skirt,ANDREA MOORE - Wool pencil skirt! 16,0.021929131783373385,0.019546795072242336,0.0013127381162138978,0.0,0.07572231370603626,0.0,0.0,0.007830029467662888
40.0,10-12,ANGEL LACE ,tunic,ANGEL LACE - Linen hi low tunic! 10-12,0.0,0.0005040155659232831,0.0001779225950130685,0.13848485744848715,0.0,0.0,0.0023850743026255896,0.0014388668558237897
