text,price,size,cleaned_text,category,brand
VELVET - Soft knit petrol blue twist top! 14,42.0,14,Soft knit petrol blue twist  ,top,VELVET 
VELVET - viscose ruffle detail scarf!,18.0,No size in title,viscose ruffle detail  ,scarf,VELVET 
VELVET rose flocked scarf!,24.0,No size in title,rose flocked,scarf,VELVET
VELVET silk blend floral scarf/shawl!,39.0,No size in title,silk blend floral,scarf/shawl,VELVET
"VERGE ""Armenia"" top! 10-12",30.0,10-12,Armenia,top,VERGE
"VERGE ""Brighton"" silk skirt! 14",45.0,14,Brighton silk,skirt,VERGE
"VERGE ""Brush"" silk tunic! 12",30.0,12,Brush silk,tunic,VERGE
"VERGE ""Flower jet crush knit"" skirt! 16",69.0,16,Flower jet crush knit,skirt,VERGE
"VERGE ""Gazette"" polka dot tunic! 12",39.0,12,Gazette polka dot,tunic,VERGE
"VERGE ""Idolise"" top like new! 14",55.0,14,Idolise top like,new,VERGE
"VERGE ""Instinct"" monochrome print top! 12-14",35.0,12-14,Instinct monochrome print,top,VERGE
"VERGE ""Jagger"" Linen blend foil spot sweater! 14",69.0,14,Jagger Linen blend foil spot,sweater,VERGE
"VERGE ""Shade"" lace detail dress! 14",89.0,14,Shade lace detail,dress,VERGE
"VERGE ""Stage"" embroidered coat! 12",50.0,12,Stage embroidered,coat,VERGE
"VERGE ""Stella zip"" cardi! 10-12",29.0,10-12,Stella zip,cardi,VERGE
"VERGE ""Texture"" top! 14",59.0,14,Texture,top,VERGE
"VERGE ""Track"" chiffon top! 14",40.0,14,Track chiffon,top,VERGE
"VERGE ""Vapour Bomber"" embroidered jacket! 12",50.0,12,Vapour Bomber embroidered,jacket,VERGE
"VERGE ""Waterfall"" coat! 12-14",65.0,12-14,Waterfall,coat,VERGE
"VERGE (BN) ""Arianna"" ink printblouse! 10",45.0,10,"(BN) ""Arianna"" ink",printblouse,VERGE
VERGE - Alpaca + wool blend knit vest! 12,35.0,12,Alpaca + wool blend knit  ,vest,VERGE 
VERGE - Bamboo blend tunic vest! 12,35.0,12,Bamboo blend tunic  ,vest,VERGE 
VERGE - Charcoal tunic dress! 14,29.0,14,Charcoal tunic  ,dress,VERGE 
VERGE - Denim jacket! 10-12,35.0,10-12,Denim  ,jacket,VERGE 
VERGE - Embossed + lace insert skirt! 10,39.0,10,Embossed + lace insert  ,skirt,VERGE 
VERGE - Fleur de lis skirt! 12,49.0,12,Fleur de lis  ,skirt,VERGE 
VERGE - Gorgeous dress pants! 14,30.0,14,Gorgeous dress  ,pants,VERGE 
VERGE - Hooded metal blend vest! 14,20.0,14,Hooded metal blend  ,vest,VERGE 
VERGE - Pinstripe pants! 10-12,38.0,10-12,Pinstripe  ,pants,VERGE 
VERGE - Quant silk shirt! 12,42.0,12,Quant silk  ,shirt,VERGE 
VERGE - Silk leaf print top! 14-16,45.0,14-16,Silk leaf print  ,top,VERGE 
VERGE - Spot lace midi skirt! 12,40.0,12,Spot lace midi  ,skirt,VERGE 
VERGE - Tribal print dress! 12,45.0,12,Tribal print  ,dress,VERGE 
Velvet flocked shawl! 10-18,35.0,10-18,velvet flocked  ,shawl,Not listed in title
