text,price_x,size,cleaned_text,category,brand,lower_title,TITLE,BUST,COLOUR,CONDITION,DESIGNER NOTES,FABRIC,FITS LIKE,HEIGHT,INNER SOLE,MEASUREMENTS,NOTES,SIZE ON BELT,SIZE ON SHOE,SIZE ON TAG,WAIST,price_y,url
PULP NOIR - Leather ankle boots! 9.5,45.0,9.5,Leather ankle  ,boots,PULP NOIR ,pulp noir - leather ankle boots! 9.5,PULP NOIR - LEATHER ANKLE BOOTS! 9.5,, Black," Excellent preloved, worn once",," Leather upper, synthetic lining, synthetic sole", 9.5,, 29cms      WIDTH,INNER SOLE: 29cms      WIDTH: 9cms      HEEL: 8cms      HEIGHT: 21cms      WIDTH ACROSS TOP: 13cms,,, 100,,,$45.00,https://recycle-style.myshopify.com/collections/all/products/pulp-nior-leather-ankle-boots-10
PULP NOIR - Leather boots LIKE NEW! 8.5,65.0,8.5,Leather boots LIKE  ,NEW,PULP NOIR ,pulp noir - leather boots like new! 8.5,PULP NOIR - LEATHER BOOTS LIKE NEW! 8.5,, Black, Like new,," Leather upper, man made materials", 8.5,, 26cms      WIDTH,INNER SOLE: 26cms      WIDTH: 9.5cms      HEEL: 3cms      HEIGHT: 40cms      WIDTH ACROSS TOP: 18.5cms,,, 5.5H,,,$65.00,https://recycle-style.myshopify.com/collections/all/products/pulp-nior-leather-boots-8-5
PULP NOIR - Leather wedges! 9,32.0,9,Leather  ,wedges,PULP NOIR ,pulp noir - leather wedges! 9,PULP NOIR - LEATHER WEDGES! 9,, Black, Excellent preloved - small nick to one heel - otherwise never worn,, Leather upper/sock.  Man made sole, N/A,, 26cms     WIDTH,INNER SOLE: 26cms     WIDTH: 9cms     HEEL: 8cms,,, 9,,,$32.00,https://recycle-style.myshopify.com/collections/all/products/pulp-noir-leather-wedges-9
PULP NOIR - Vintage leather pumps! 5.5,19.0,5.5,Vintage leather  ,pumps,PULP NOIR ,pulp noir - vintage leather pumps! 5.5,PULP NOIR - VINTAGE LEATHER PUMPS! 5.5,,,,,,,,,,,,,,,$19.00,https://recycle-style.myshopify.com/collections/all/products/pulp-noir-vintage-leather-pumps-5-5
PUPRPLE Leather lace up boots! 38,65.0,38,puprple leather lace up  ,boots,Not listed in title,puprple leather lace up boots! 38,PUPRPLE LEATHER LACE UP BOOTS! 38,, Purple, Good preloved,," Leather upper, synthetic fleece lining, rubber sole ", 7-7.5,, 25cms      WIDTH,INNER SOLE: 25cms      WIDTH: 9.5cms      HEEL: 2cms      HEIGHT: 29.5cms   ,,, 38,,,$65.00,https://recycle-style.myshopify.com/collections/all/products/purple-leather-lace-up-boots-8
PURIRI - Lace accent floral chiffon jacket! 14,29.0,14,Lace accent floral chiffon  ,jacket,PURIRI ,puriri - lace accent floral chiffon jacket! 14,PURIRI - LACE ACCENT FLORAL CHIFFON JACKET! 14,,,,,,,,,,,,,,,$29.00,https://recycle-style.myshopify.com/collections/all/products/puriri-lace-accent-floral-chiffon-jacket-14
"PURPLE Ribbon, leather bauble necklace!",25.0,No size in title,"purple ribbon, leather bauble  ",necklace,Not listed in title,"purple ribbon, leather bauble necklace!","PURPLE RIBBON, LEATHER BAUBLE NECKLACE!",," Purple, berry, brown", Like new,," Leather, ribbon",,,,LENGTH: 46cms one side at shortest point,,,,,,$25.00,https://recycle-style.myshopify.com/collections/all/products/copy-of-purple-ribbon-leather-bauble-necklace
Pearl + drop necklace!,12.0,No size in title,pearl + drop  ,necklace,Not listed in title,pearl + drop necklace!,PEARL + DROP NECKLACE!,," Smokey brown, pear white", Excellent preloved,," Metal, resin",,,,ADJUSTABLE LENGTH: 41-44cms      WIDTH: cms     PENDANT: 8cms,,,,,,$12.00,https://recycle-style.myshopify.com/collections/all/products/pearl-gemstone-necklace
Pink + grey stripe scarf!,6.0,No size in title,pink + grey stripe  ,scarf,Not listed in title,pink + grey stripe scarf!,PINK + GREY STRIPE SCARF!,," Baby pink, white, taupe"," Good preloved, Has a couple small pull holes",, Polyester ,,,,WIDTH: 74cms     LENGTH (tassel included): 202cms, Tassels line each end. ,,,,,$6.00,https://recycle-style.myshopify.com/collections/all/products/striped-scarf
Pink and white scarf!,15.0,No size in title,pink and white  ,scarf,Not listed in title,pink and white scarf!,PINK AND WHITE SCARF!,," Pink, white"," Very good preloved, ",," No tag, cotton",,,,WIDTH: 67cms     LENGTH: 210cms,,,,,,$15.00,https://recycle-style.myshopify.com/collections/all/products/pink-and-white-scarf
Portmans (AU) Dress pants! 10,29.0,10,(AU) Dress,pants,Portmans,portmans (au) dress pants! 10,PORTMANS (AU) DRESS PANTS! 10,,,,,,,,,,,,,,,$29.00,https://recycle-style.myshopify.com/collections/all/products/portmans-aus-dress-pants-10
